Period,Unnamed: 4,Használt lakás vásárlás,Új lakás vásárlás,Új lakás építés,Felújítás és egyéb,Támogatott hitelek aránya a lakáshiteleken belül (jobb skála)
Jan 2018,2018. jan,41.47997,5.276017,5.326737,5.316523999999999,10.464227917529364
Feb,feb,38.77326,4.760465,4.548291,5.214843999999999,10.035457695124189
Mar,már,44.94614,4.38683,5.056746,5.937772000000001,9.520385173721143
Apr,ápr,51.27866,4.937243,5.277817,6.966149,8.660077305758234
May,máj,58.15707,5.717367,6.378372,7.238303,8.186640922887749
Jun,jún,62.3794,6.11196,8.736868,7.980423,7.30839288494346
Jul,júl,61.4805,6.004026,7.819594,7.307092000000001,6.212476634319934
Aug,aug,60.16013,6.735938,7.3851,6.790959,5.943832028713667
Sept,szept,55.87289,7.630781,8.129584,6.765696,6.298989883580536
Oct,okt,57.59172,6.150225,7.956484,6.728064,5.343387940543374
Nov,nov,51.61646,6.819028,6.386115,5.888735,4.86792581172087
Dec,dec,41.48203,5.246975,4.892165,5.240558999999999,4.183003298156372
Jan 2019,2019. jan,45.63565,6.902963,5.575054,5.012503000000001,10.80195570447162
Feb,feb,43.74931,8.124137,6.048153,4.666155,13.626894248381562
Mar,már,53.18066,8.854959,8.711592,5.591799,9.745348797911449
Apr,ápr,60.37908,8.366527,9.557381,6.095961,7.790815817595512
May,máj,60.72673,7.877365,10.03732,7.169741,8.64847868451818
Jun,jún,56.18237,7.841833,10.66849,6.794344,8.959397451749195
Jul,júl,53.42377,7.306421,10.2592,6.837993,8.623153410805834
Aug,aug,48.82563,7.313932,6.741032,5.144325,15.593495769927928
Sept,szept,54.7476,8.131424,7.678321,4.664116,18.26216179400022
Oct,okt,57.1797,9.168658,9.298222,5.506686,17.63267782162829
Nov,nov,51.0012,10.57386,7.45543,5.070349,19.71768473229148
Dec,dec,47.83272,15.35182,7.825582,6.042181,19.168370960917656
Jan 2020,2020. jan,51.06718,9.890857,11.9063,6.204977,21.210216539482747
Feb,feb,50.96356,7.897067,8.731983,6.6360980000000005,18.346398094728663
Mar,már,62.67962,10.26971,6.484845,6.538647,15.980029717694958
Apr,ápr,52.26828,8.089478,5.874878,6.316464,15.832913609182938
May,máj,40.70372,9.455369,5.380661,6.322919000000001,16.22964331875239
Jun,jún,45.52982,8.679069,5.451989,7.373603,16.777137704554306
Jul,júl,56.55747,8.866862,5.632618,6.958095,14.452089710992825
