Cím:,"Egyéves előretekintő lakásbérbeadási hozam, valamint a befektetési célú lakásvásárlások és a befektetéstől megváló eladók aránya",Vissza a jegyzékre / Return to the Index,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Title:,One-year forward-looking housing rental yield and share of house purchases for investment purposes and those selling their investment,,,,,,,,,,
Forrás:,"ingatlan.com, KSH, Duna House, MNB.",,,,,,,,,,
Source:,"ingatlan.com, HCSO, Duna House, MNB",,,,,,,,,,
Megjegyzés:,"Az éves bérleti hozam a személyi jövedelemadó levonása utáni adózott éves bérleti bevétel és a vagyonszerzési illetékkel növelt lakásár hányadosaként számítva. A lakossági állampapírpiaci kamat a dematerializált forint lakossági állampapírok havi kibocsátási mennyiséggel súlyozott, átlagos értékesítéskori éves kamatai alapján.",,,,,,,,,,
Note:,"The annual rental yield calculated as the ratio of the annual rental yield net of personal income tax to the house price plus duty on the acquisition of property. The retail government bond interest rate is based on the average annual interest at the time of sale, weighted by the monthly issue volume of dematerialized HUF retail government securities.",,,,,,,,,,
,,,,,,,,Annual rental yield,Weighted interest rate on the retail government securities market,"Share of investment-purpose purchases (3-month average, RHS)","Share of those selling an investment (3-month average, RHS)"
,,,,,,,,Éves bérbeadási hozam,Lakossági állampapírpiaci súlyozott kamat,"Befektetési céllal vásárlók aránya (3 havi, jobb skála)","Eladók között a befektetést értékesítők aránya (3 havi, jobb skála)"
,,,,,,,2018-01-31,10.69822773039414,,,
,,,,,,,2018-02-28,10.694377607997032,,,
,,,,Mar-18,,2018. márc.,2018-03-31,10.527942150639035,2.0062201207751924,28.333333333333332,1
,,,,,,,2018-04-30,10.567224165906348,2.1753490153003927,26.333333333333332,1
,,,,,,,2018-05-31,10.427990005642654,2.2106832533298597,24.333333333333332,0.6666666666666666
,,,,,,,2018-06-30,10.29072871740986,2.2479423578713873,24,1.3333333333333333
,,,,,,,2018-07-31,10.343207624156383,2.334546765475042,24.666666666666668,2.6666666666666665
,,,,,,,2018-08-31,10.310161679231138,2.6482792209289423,27.333333333333332,3.6666666666666665
,,,,Sept,,szept.,2018-09-30,10.281908248904086,2.6427592753843556,27,3.6666666666666665
,,,,,,,2018-10-31,10.057263625410869,2.6353547985419135,28.333333333333332,2.6666666666666665
,,,,,,,2018-11-30,9.937936145887837,2.7514433585206675,30,3
,,,,,,,2018-12-31,10.045460880147994,2.714616765442691,30.666666666666668,3
,,,,,,,2019-01-31,10.07865850311325,2.801593056123526,29,4.666666666666667
,,,,,,,2019-02-28,10.127583667851322,2.995519293991503,26,5
,,,,Mar-19,,2019. márc.,2019-03-31,9.917041197499756,3.1471589916202074,24.666666666666668,5.333333333333333
,,,,,,,2019-04-30,9.78759224457895,3.109276284413541,24,4.333333333333333
,,,,,,,2019-05-31,9.636871396597444,3.30562931161282,24,4.666666666666667
,,,,,,,2019-06-30,9.739021155852333,3.506002110070697,24,4.666666666666667
,,,,,,,2019-07-31,9.689377513492188,3.4575127849700933,24.666666666666668,5
,,,,,,,2019-08-31,9.832551779058633,3.447911293944777,24.333333333333332,3.3333333333333335
,,,,Sept,,szept.,2019-09-30,9.554339588740362,3.432268810751194,24,3.3333333333333335
,,,,,,,2019-10-31,9.497142016713415,3.438846873486919,23,3.3333333333333335
,,,,,,,2019-11-30,9.624831107723942,3.3238406047074163,22.666666666666668,5.666666666666667
,,,,,,,2019-12-31,9.525493437161375,3.3225659054512624,23.666666666666668,9
,,,,,,,2020-01-31,9.706730223879374,3.375179426282618,24,9.333333333333334
,,,,,,,2020-02-29,9.38825004504639,3.3414963292467212,24.333333333333332,9
,,,,Mar-20,,2020. márc.,2020-03-31,8.8822187837301,3.3011777155465034,25,7.333333333333333
,,,,,,,2020-04-30,8.55075375425204,3.388700738821223,27,7
,,,,,,,2020-05-31,8.880042184853412,3.3423191688496834,27,6
,,,,,,,2020-06-30,8.796069923751485,3.2376565310704892,25,4.333333333333333
,,,,,,,2020-07-31,8.780551704575997,3.33560177004506,24,6
,,,,,,,2020-08-31,8.522192143804046,3.470316136018426,23.666666666666668,6
,,,,Sept,,szept.,2020-09-30,8.294065244765479,3.292592609400346,23,6.333333333333333
,,,,,,,2020-10-31,7.992466509256005,3.374742308342827,22.666666666666668,4.666666666666667
,,,,,,,2020-11-30,7.749098390335021,3.3656652973265837,24.333333333333332,4.666666666666667
,,,,,,,2020-12-31,7.659042820985536,3.276998018581749,26.333333333333332,4.333333333333333
,,,,,,,2021-01-31,7.596450671665794,3.2591221959569237,27,5
,,,,,,,2021-02-28,7.6220927511208085,3.275856824479094,25.333333333333332,4.333333333333333
,,,,Mar-21,,2021. márc.,2021-03-31,7.446419498814246,3.3036038096771536,21.666666666666668,4.666666666666667
,,,,,,,2021-04-30,7.422522617333348,3.295772141467948,20,5
,,,,,,,2021-05-31,7.396677484692896,3.3169430874867065,23.666666666666668,7
,,,,,,,2021-06-30,7.420678705811214,3.2100320103914326,26,11.333333333333334
,,,,,,,2021-07-31,7.481842769043302,3.1889569258850154,28,17
,,,,,,,2021-08-31,7.420678046384993,3.332431649666993,24.333333333333332,22.666666666666668
,,,,Sept,,szept.,2021-09-30,7.361913253637406,3.436497423029208,24,25.666666666666668
,,,,,,,2021-10-31,7.219835977820324,3.5582673656452037,23.333333333333332,25.333333333333332
,,,,,,,2021-11-30,7.126487043328512,3.309633943114184,24.666666666666668,25
,,,,,,,2021-12-31,7.002191326114998,3.3999298201237087,27,25.666666666666668
,,,,,,,2022-01-31,6.926710800339234,4.384476794828826,29,26.666666666666668
,,,,,,,2022-02-28,6.86588824910501,4.932702228466536,30.333333333333332,27
,,,,Mar-22,,2022. márc.,2022-03-31,6.874185107117834,5.612619321116096,30.666666666666668,26.333333333333332
,,,,,,,2022-04-30,6.904144481190966,5.8129667820451605,29.666666666666668,25.333333333333332
,,,,,,,2022-05-31,6.921620563808823,5.680696351985277,29.333333333333332,23.666666666666668
,,,,,,,2022-06-30,7.013540768618075,5.904976514039233,28,21.333333333333332
,,,,,,,2022-07-31,7.05841615104341,5.8327283620031976,28,21.666666666666668
,,,,,,,2022-08-31,7.124050100720927,5.930181796674201,28.666666666666668,22.666666666666668
,,,,Sept,,szept.,2022-09-30,7.113640050848369,9.007194724800527,31,24.333333333333332
,,,,,,,2022-10-31,7.1053848118719705,11.437199805358441,31.666666666666668,24
,,,,,,,2022-11-30,7.201234794115748,11.307441584014695,30.666666666666668,22
,,,,,,,2022-12-31,7.177483707923116,11.321402044515054,30.666666666666668,21
,,,,,,,2023-01-31,7.30884192912258,14.144203454007478,33,22.333333333333332
,,,,,,,2023-02-28,7.2856893733923584,15.167265686082702,35.333333333333336,24
,,,,Mar-23,,2023. márc.,2023-03-31,7.1454942313859195,15.279644763296448,31.666666666666668,23.666666666666668
,,,,,,,2023-04-30,7.048537570052289,15.189087845878692,28.666666666666668,24.666666666666668
,,,,,,,2023-05-31,7.132843620027751,15.297490844010321,25,24.333333333333332
,,,,,,,2023-06-30,7.33559983259477,14.777227781978803,25,24.333333333333332
,,,,,,,2023-07-31,7.474447071910685,14.57643314837889,22.333333333333332,22
,,,,,,,2023-08-31,7.4668478714823445,13.303825489364819,23.333333333333332,23.666666666666668
,,,,Sept,,szept.,2023-09-30,7.43705796438839,12.698071631391619,23,23.666666666666668
,,,,,,,2023-10-31,7.454293720992062,12.199490010879005,22.666666666666668,24.666666666666668
,,,,,,,2023-11-30,7.473450457381106,13.669318189106933,22.666666666666668,24
,,,,,,,2023-12-31,7.394171626470829,8.822397719253674,23.666666666666668,25.666666666666668
,,,,,,,2024-01-31,7.389886915986428,8.463382453729448,25.333333333333332,25
,,,,,,,2024-02-29,7.40299180567991,7.783091721481813,25,24
,,,,Mar-24,,2024. márc.,2024-03-31,7.348817692713505,7.192349470157024,24.666666666666668,24.666666666666668
,,,,,,,2024-04-30,7.399235936970997,7.022566074913224,23,25.333333333333332
,,,,,,,2024-05-31,7.384373426655802,7.215375512282669,22,26.333333333333332
,,,,,,,2024-06-30,7.46391803196782,7.244576956184664,22,26
,,,,,,,2024-07-31,7.436425073359142,7.251200729243438,25,25.333333333333332
,,,,,,,2024-08-31,7.3798292030751025,7.04575664969102,25,24.666666666666668
,,,,Sept,,szept.,2024-09-30,7.322781509223302,6.8083458382239535,24.666666666666668,23.333333333333332
,,,,,,,2024-10-31,7.257355918830075,6.658335271881253,23.333333333333332,23.333333333333332
,,,,,,,2024-11-30,7.115207360540013,6.550168284679174,25.666666666666668,24.333333333333332
